,State,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
0,Alaska,0,0,133,356,460,1013,3410,5703,8380,15706,31864,46304,53543,57594,62329,67226,69253,70193,74819,85008,108604,131904,142982,149907,206582,225088,232178,237894,244906,254200,263736,270157,272973,275030,276428,277884,280667,283202,285075,286542,287187,287319,287319
1,Alabama,0,0,997,7063,17849,38045,87721,126058,154699,192285,249523,361226,459639,493257,515423,527922,543405,550983,588357,699729,796475,831165,845761,896614,1153149,1279565,1295327,1300733,1314963,1357266,1424411,1479605,1522135,1534287,1549285,1568934,1610535,1638348,1650449,1657175,1659936,1659936,1659936
2,Arkansas,0,0,560,3269,7252,20774,42431,61219,83697,112190,157359,225138,295268,322511,330401,335725,341381,349385,385113,451194,493604,510426,526279,562455,757529,796880,809086,811810,819197,840690,875960,905053,923388,931348,940015,955211,965385,973424,977662,977662,977662,977662,977662
3,Arizona,1,1,1289,7648,20119,79205,174010,201835,218507,245946,326817,520207,758404,817821,841884,862498,881451,894876,925170,1011924,1093583,1163218,1269781,1381488,1870645,1976891,2007180,2021525,2049628,2125568,2196430,2254375,2271561,2287887,2337548,2378334,2398201,2434632,2454321,2468341,2478215,2484421,2486671
4,California,798,445,18250,63708,134694,299438,583496,735502,834789,954170,1324517,2480002,3338849,3514198,3589961,3650454,3686042,3717208,3895819,4253686,4496246,4672410,4817112,5397950,7947742,8390429,8493427,8628599,8975359,9479324,9981732,10289596,10411814,10494219,10651055,10887571,11037724,11126614,11195568,11245420,11263545,11282712,11300486
5,Colorado,0,0,2965,15261,26378,32713,46807,57423,70534,104426,232904,334082,396179,428312,462085,510966,543174,557791,575082,615878,671363,748883,834519,954170,1259418,1316005,1348933,1385275,1426248,1528729,1594075,1625641,1645106,1664629,1691515,1716449,1729165,1740809,1753905,1761447,1764575,1768922,1769981
6,Connecticut,0,0,3128,27700,42201,46513,49810,52879,57550,71207,117295,185708,250023,279946,310888,339233,347341,349352,354335,373072,390345,402583,421692,510188,699400,723389,736775,758281,809194,825075,825075,874890,896602,912795,926535,947529,964313,973502,978831,980999,982614,982973,982973
7,District of Columbia,0,0,586,4323,8801,10327,12205,13992,15326,17266,21552,28983,36872,40598,44513,47697,48898,49335,50398,55431,61153,64240,66912,94286,129817,134564,134623,141943,150303,157041,162692,166275,168576,169149,169149,169149,169149,169149,169149,169149,169149,169149,169149
8,Delaware,0,0,319,4734,9498,11479,14848,17429,20613,24946,35680,57456,78071,86799,94802,104405,108866,109744,111275,119852,132963,143563,153190,180366,248111,256621,259647,262461,276639,285046,294041,302738,308713,313383,316956,321888,325872,330332,333123,333682,333893,334101,334466
9,Florida,0,0,6741,33690,56161,152422,470386,623458,706515,802545,999319,1323315,1721377,1909222,2057825,2233518,2320818,2331916,2628885,3269833,3576581,3650637,3693375,4222899,5555713,5808480,5851512,5933767,6169670,6494000,6815125,7031844,7120038,7182388,7198661,7272143,7403126,7476059,7545566,7576550,7590581,7616008,7627999
10,Georgia,0,0,4110,25832,47079,82086,186344,270436,318014,360728,422121,566675,749867,818522,852504,879854,896081,903423,932145,1091007,1223189,1263757,1285265,1420034,1842500,1911333,1938336,1950206,1981571,2051117,2126403,2213523,2237892,2246762,2247590,2297234,2326499,2345054,2355128,2344453,2343807,2343807,2343807
11,Hawaii,0,0,224,617,651,917,2110,8472,12410,15071,17925,18951,25853,27559,29681,32349,36276,37758,41925,63502,79206,83708,87585,112932,219288,236151,240778,248405,274495,308695,325944,339514,355959,360490,367352,371103,371103,371103,371103,386632,389194,391914,393757
12,Iowa,0,0,496,7142,19481,28941,44474,64702,88553,127356,228978,280303,319203,336316,350840,364776,371377,373823,378831,400082,451492,483409,519894,582348,719703,754073,758502,763782,780019,796611,818389,843034,856645,862993,873666,884333,892628,892628,892628,892628,892628,892628,892628
13,Idaho,0,0,525,2013,2839,6116,20721,32086,42046,64608,101697,141074,162683,171144,180536,187656,192012,194998,200484,221385,257321,290870,306843,319382,377721,426164,444002,446040,450957,462978,478661,489400,495873,499849,506232,510535,515002,518430,523460,525470,526118,526118,526118
14,Illinois,2,2,5994,52910,120260,143185,178837,235023,293274,410300,726304,963389,1126301,1186696,1244585,1335055,1382186,1391739,1421791,1522942,1627508,1700267,1810090,2181031,2921057,3031332,3068357,3142538,3302615,3430843,3563653,3687549,3706263,3706263,3706263,3706263,3706263,3706263,3706263,3706263,3706263,3706263,3706263
15,Indiana,0,0,2159,17818,34569,45593,66338,96468,122509,182131,341970,514732,630063,665151,690069,724012,747303,757550,774933,862208,966470,1022473,1105075,1250836,1627595,1685947,1695119,1702292,1730761,1772183,1828734,1895799,1921993,1933102,1942708,1942708,1942708,2033879,2033879,2033879,2033879,2033879,2033879
16,Kansas,0,0,428,4235,9763,14528,27982,43035,60662,86774,159904,225353,277495,296286,302384,309130,313997,318106,332933,368976,408934,434646,465290,519544,730670,766045,770082,775813,785916,801946,834820,858613,878499,887076,894768,916756,926022,934180,939236,944952,946413,946564,946564
17,Kentucky,0,0,527,4695,9693,15622,30150,48391,68838,107214,179041,265262,362890,404448,427015,444127,458275,465167,482599,577051,691344,743156,785926,856145,1160558,1277352,1312407,1325726,1354787,1398705,1451859,1536444,1576835,1614528,1635010,1662581,1692590,1713220,1713220,1713220,1713220,1713220,1713220
18,Louisiana,0,0,5235,27998,39899,58095,116280,148169,166013,182254,232414,315264,400626,430133,444977,458581,470685,481467,541679,679796,740533,758471,770894,828695,1170212,1225637,1232422,1238011,1259730,1308592,1377666,1431011,1455290,1459308,1459308,1459308,1459308,1459308,1459308,1459308,1459308,1459308,1459308
19,Massachusetts,0,1,6620,62177,97005,108882,117612,128533,138442,165304,229151,341523,498145,550302,598390,646194,661489,664284,672972,710054,758334,794878,855873,1060110,1485623,1539526,1564394,1618006,1717970,1765659,1806803,1833583,1872993,1905878,1928177,1963376,1963376,2017933,2032547,2039249,2042977,2046845,2048722
20,Maryland,0,0,1660,21742,52715,67559,88346,108249,124725,145281,198370,276662,354473,382099,411344,447401,459894,462279,468548,497002,532340,561270,586143,726388,955280,1002634,1012357,1032775,1093441,1136317,1181209,1224460,1250844,1261834,1270844,1270844,1270844,1270844,1270844,1270844,1270844,1270844,1270844
21,Maine,0,0,275,1094,2320,3292,3925,4526,5390,6667,11982,24197,39534,44635,50504,61213,67787,69034,70463,75856,89989,104259,119662,146736,174225,226150,235790,245080,262902,269926,275997,282808,289726,297247,301560,306647,311802,316760,320678,322448,323369,324038,324378
22,Michigan,0,0,7613,41367,57391,70725,90559,113025,138004,197406,388941,528588,610138,645558,746352,936467,991941,1000019,1011106,1060343,1150064,1275103,1475053,1710277,2258465,2360399,2387521,2425946,2527831,2606431,2672312,2770359,2836167,2886176,2938443,2988654,3030505,3057222,3084114,3101014,3110737,3116809,3119532
