,State,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
0,Alaska,0,0,3,9,9,13,25,46,58,88,146,251,283,306,321,341,362,370,382,434,554,705,844,938,1049,1143,1178,1202,1231,1231,1252,1281,1306,1351,1374,1393,1409,1422,1441,1441,1441,1457,1457
1,Alabama,0,0,13,269,629,948,1580,2179,2530,2964,3576,4827,7688,9934,10558,10896,11146,11352,11542,12283,14299,15532,16119,16455,16826,18225,19290,19567,19664,19755,19891,20048,20422,20558,20652,20737,20870,20932,21127,21133,21138,21138,21138
2,Arkansas,0,0,8,61,133,269,451,795,1364,1924,2502,3676,4868,5429,5669,5739,5833,5909,6123,6934,7691,8353,8667,9148,9628,10524,11230,11385,11484,11581,11707,11918,12165,12489,12564,12691,12825,12962,13062,13062,13062,13062,13062
3,Arizona,0,0,24,318,910,1632,3692,5025,5650,5978,6639,8864,13120,15980,16968,17324,17628,17936,18224,18786,19959,21096,22307,24229,26205,27946,29268,29852,29852,29852,29852,29852,29852,29852,29852,29852,29852,29852,29852,29852,29852,29852,29852
4,California,0,2,235,2261,4630,6814,10659,14565,16766,18241,20677,32537,51201,58894,61335,62252,62862,63217,63769,65378,68568,71375,73735,75656,79499,84819,87900,89511,90626,92144,92691,94044,94972,95862,96614,97562,99206,100215,100987,101657,101918,102217,102356
5,Colorado,0,0,69,776,1444,1679,1838,1945,2051,2276,3037,4814,5637,5960,6116,6296,6581,6795,6945,7142,7543,8289,9332,10322,11183,11799,11974,12461,12516,12750,12983,13148,13272,13369,13538,13776,13922,13980,14150,14236,14288,14499,14522
6,Connecticut,0,0,69,2257,3942,4320,4431,4465,4508,4615,5020,5995,7046,7627,7893,8097,8238,8278,8293,8358,8629,8764,8905,9160,10010,10470,10776,10850,10941,11034,11034,11034,11034,11034,11034,11034,11034,11034,11034,11034,11034,11034,11034
7,District of Columbia,0,0,11,224,466,551,585,607,627,646,680,786,913,1005,1064,1105,1132,1141,1149,1160,1174,1190,1196,1211,1284,1318,1319,1340,1343,1351,1364,1382,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392
8,Delaware,0,0,10,152,366,507,583,605,636,709,774,926,1090,1422,1559,1625,1661,1694,1700,1880,1954,2089,2178,2286,2531,2709,2846,2907,2956,2984,3024,3042,3111,3147,3172,3206,3254,3309,3357,3386,3406,3435,3440
9,Florida,0,0,85,1267,2450,3503,6843,11187,14310,16761,18592,21673,26479,30853,33450,35161,36774,37913,40168,45898,55011,59497,61629,62539,65963,70788,73408,74038,74587,76295,77823,80201,81454,81907,82875,83606,84927,86294,87141,88219,88505,88896,89075
10,Georgia,0,0,125,1125,2038,2807,3751,5627,7012,7971,8776,9872,12570,15070,16620,20190,20837,21423,21676,22740,26084,29065,30510,31443,32976,35415,36987,37806,38198,38455,39050,39633,40281,40446,40462,41417,41915,42332,42608,42351,42351,42351,42351
11,Hawaii,0,0,1,16,17,18,26,70,136,219,244,269,401,439,463,480,500,517,537,589,782,891,1018,1090,1181,1334,1379,1418,1451,1504,1571,1644,1686,1702,1737,1758,1758,1758,1758,1884,1909,1938,1955
12,Iowa,0,0,7,162,532,713,865,1111,1341,1714,2389,3891,4901,5472,5744,5931,6055,6134,6170,6268,6563,6965,7354,7858,8501,9085,9445,9529,9603,9688,9782,9940,10077,10177,10294,10387,10538,10538,10538,10538,10538,10538,10538
13,Idaho,0,0,9,62,82,92,189,361,469,628,929,1436,1725,1860,1962,2046,2090,2152,2197,2363,2907,3534,3929,4162,4405,4751,4873,4927,4940,4973,5035,5115,5176,5216,5268,5303,5357,5393,5458,5476,5486,5495,5513
14,Illinois,0,0,99,2355,5389,6921,7495,8026,8671,9757,12985,17978,21253,22735,23579,24291,25223,25672,25924,26500,27665,28639,29376,31017,34704,36910,37667,37898,38135,38588,38882,39328,39381,39381,39381,39381,39381,39381,39381,39381,39381,39381,39381
15,Indiana,0,0,90,1007,1966,2447,2768,3294,3628,4331,5722,8262,9974,12577,13043,13332,13620,13850,14005,14491,15658,16683,17557,19037,21356,22843,23373,23587,23700,23877,24106,24454,24708,24864,24950,24950,24950,25959,25959,25959,25959,25959,25959
16,Kansas,0,0,10,135,213,275,356,450,678,1029,1560,2740,3779,4752,4914,4982,5076,5156,5255,5557,6051,6415,6673,6673,7536,7946,8294,8635,8939,8945,8971,8958,9555,9606,9652,9716,9944,10034,10135,10183,10225,10229,10229
17,Kentucky,0,0,18,240,431,564,731,933,1172,1483,1907,2622,3745,4637,6091,6501,6782,7220,7334,7764,8770,9766,10943,12118,12960,13856,14895,15413,15945,16144,16352,16679,16969,17322,17502,17670,17890,18094,18094,18094,18094,18094,18094
18,Louisiana,0,0,238,1858,2683,3112,3835,4787,5321,5705,6420,7486,8859,9609,10143,10382,10576,10738,10999,12359,13949,14547,14801,14986,15674,16606,17127,17248,17326,17412,17571,17871,18066,18136,18136,18136,18136,18136,18136,18136,18136,18136,18136
19,Massachusetts,0,0,89,3562,6846,8052,8609,9057,9456,9991,10748,12423,14577,16067,17185,17610,17872,17992,18082,18246,18627,18996,19404,20273,22034,23424,20105,20263,20594,20944,21035,21035,21035,21035,21035,21035,21035,21035,21035,21035,21035,21035,21035
20,Maryland,0,0,17,985,2433,3228,3547,3812,4004,4198,4664,5904,7084,7816,8227,8673,9570,9721,9802,9959,10385,10834,11160,11758,13484,14135,14347,14462,14613,14794,14984,15194,15402,15497,15578,15578,15578,15578,15578,15578,15578,15578,15578
21,Maine,0,0,5,53,89,105,123,132,141,147,214,347,627,704,743,784,825,858,900,932,1022,1167,1324,1531,1738,2064,2202,2286,2346,2415,2467,2512,2580,2650,2722,2790,2861,2921,2972,3026,3052,3073,3085
22,Michigan,0,0,259,3791,5491,6192,6446,6750,7077,7696,9559,13015,15525,16509,17123,18753,20376,20999,21188,21547,22355,23662,25399,29019,32263,34505,35662,36002,36357,36918,37428,38038,38624,39250,40085,40767,41690,42096,42456,42749,42974,43124,43191
23,Minnesota,0,0,10,342,1038,1440,1600,1817,2036,2475,3593,5323,6200,6485,6848,7144,7426,7594,7668,7811,8153,8669,9382,10516,11411,12109,12408,12508,12633,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806
24,Missouri,0,0,14,331,771,1023,1243,1530,2128,3026,4004,5519,6748,7923,8508,8743,9080,9311,9667,10589,11493,12055,15434,16074,17124,18858,19993,19993,19993,19993,19993,19993,19993,19993,19361,19481,19723,19844,20672,20776,20776,20776,20776
25,Mississippi,0,0,18,260,734,1073,1624,2472,2968,3348,3807,4787,6045,6682,7034,7199,7316,7412,7543,8409,9600,10075,10285,10450,10935,12039,12383,12436,12465,12512,12604,12794,12879,12968,13034,13097,13097,13097,13097,13097,13474,13474,13474
26,Montana,0,0,4,17,18,23,61,106,181,377,682,962,1235,1358,1437,1571,1613,1665,1704,1800,2009,2346,2671,2906,3000,3187,3247,3360,3400,3444,3473,3504,3520,3574,3597,3621,3640,3651,3698,3710,3712,3712,3712
27,North Carolina,0,0,8,377,875,1334,1922,2702,3532,4167,5261,6748,9333,11213,12118,12651,13055,13437,13635,14468,16524,18050,18740,19399,20757,22570,23207,23405,24644,25209,25483,26335,26525,26953,27371,27629,28040,28346,28540,28973,29059,29059,29059
28,North Dakota,0,0,3,19,59,79,103,143,247,524,927,1276,1422,1446,1468,1492,1512,1528,1539,1560,1611,1762,1892,2007,2093,2192,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232
29,Nebraska,0,0,4,72,164,267,333,397,479,645,1016,1650,1912,2077,2179,2237,2230,2261,2280,2322,2840,2975,3158,3341,3705,3986,4162,4197,4290,4342,4366,4455,4542,4546,4562,4562,4562,4827,4827,4827,4827,4827,4827
30,New Hampshire,0,0,3,72,245,371,415,432,439,483,526,741,1057,1170,1238,1303,1356,1375,1390,1420,1484,1555,1716,1961,2209,2377,2452,2481,2537,2585,2627,2662,2705,2725,2761,2761,2761,2972,2972,2972,2972,2972,2972
31,New Jersey,0,0,265,7231,11696,15035,15795,15941,16120,16348,16993,19042,21484,23253,24562,25554,26159,26410,26579,26606,26606,26606,26606,29037,31442,32915,33232,33429,33702,34049,34266,34562,34744,34862,35129,35368,35749,35774,35774,35774,35774,35774,35774
32,New Mexico,0,0,5,123,356,497,642,779,877,1018,1568,2477,3283,3716,3937,4067,4263,4340,4410,4518,4801,5049,5367,5855,6454,6919,7274,7499,7791,7941,8246,8447,8567,8643,8702,8814,8953,9030,9115,9200,9236,9236,9236
33,Nevada,0,0,26,253,429,507,830,1302,1600,1777,2137,3079,4173,4854,5137,5464,5586,5681,5912,6510,7150,7631,8017,8420,8951,9704,10091,10752,10872,11039,11221,11400,11501,11555,11630,11751,11875,11911,11957,11984,12023,12069,12084
34,New York,0,0,1991,23407,29633,31774,32369,32646,32862,33264,34274,37627,43358,47302,50190,51865,52904,53276,53442,54030,55132,56142,57290,59289,64571,67134,67719,68079,68723,69405,69999,70844,71553,72828,73653,74795,75889,76726,77274,77455,77558,77654,77423
35,Ohio,0,0,55,975,2151,2862,3485,4137,4803,5301,6429,8962,11175,17303,18973,19188,19861,20309,20492,20866,21945,24527,26587,29447,33071,36580,38042,38428,38628,38852,39035,39406,39856,40173,40466,40928,41355,41686,41973,42174,42299,42299,42299
36,Oklahoma,0,0,23,222,350,416,593,990,1313,1969,3096,4885,7150,7976,8275,8454,8587,8692,8932,9823,10997,11768,11851,11851,13125,14488,15383,15815,16050,16145,16252,16644,16902,16999,17254,17394,17652,17887,18065,18236,16157,16157,16157
37,Oregon,0,0,18,103,153,207,321,458,559,688,912,1477,1938,2206,2383,2495,2665,2774,2858,3197,3791,4372,5161,5655,6100,6622,7144,7502,7635,7813,8101,8412,8561,8646,8726,8726,8726,8726,8726,8726,8726,8726,8726
38,Pennsylvania,0,0,63,2290,5536,6648,7189,7673,8140,8812,10383,15978,21661,24024,25095,26218,27214,27678,27850,28235,29400,31454,33421,36705,40581,43216,44275,44677,45147,45766,46164,46716,47213,47705,48387,48892,49633,50168,50713,50999,51144,51278,51344
39,Rhode Island,0,0,8,266,720,950,993,1020,1092,1166,1277,1712,2076,2448,2613,2671,2708,2730,2740,2770,2838,2878,2934,3066,3316,3412,3522,3540,3579,3609,3630,3643,3669,3689,3740,3767,3817,3856,3886,3905,3914,4148,4148
40,South Carolina,0,0,22,244,494,735,1646,2720,3374,3932,4381,5296,7042,8546,9150,9497,9736,9819,9904,10598,12472,13716,14210,14636,15480,16865,17591,17734,17869,17869,17869,17869,17869,17869,17869,17869,17869,17869,17869,17869,17869,17869,17869
41,South Dakota,0,0,1,17,60,91,130,167,223,425,946,1488,1778,1888,1935,1967,2010,2035,2043,2059,2133,2231,2328,2474,2623,2784,2883,2912,2927,2938,2956,2993,3021,3059,3099,3118,3149,3175,3209,3223,3231,3245,3245
42,Tennessee,0,0,13,195,364,592,1033,1747,2420,3341,4554,6810,9579,11393,11904,12197,12441,12562,12732,13486,15149,16351,17044,20851,22151,23981,25516,26170,26478,26714,27030,27481,27818,28006,28113,28113,28113,28113,28113,28113,28113,28113,28113
43,Texas,0,0,101,993,1916,3266,9919,14741,16856,19410,24193,31218,41135,46357,48687,49917,50915,51524,52672,59312,66701,70280,72868,74778,78978,83997,86075,86589,86837,87125,87695,88578,89208,89593,89834,89834,90366,90366,92018,92283,92378,92378,92378
44,Utah,0,0,4,46,108,172,303,407,460,604,871,1271,1667,1935,2127,2202,2301,2371,2451,2634,2932,3208,3528,3787,4118,4411,4714,4747,4777,4834,4900,4968,5021,5061,5089,5187,5253,5276,5320,5353,5376,5397,5397
45,Virginia,0,0,27,552,1366,1755,2165,2578,3204,3637,4059,5029,6464,8553,10327,10770,11186,11415,11532,11842,12750,13907,14710,15587,16217,18771,19692,20236,20389,20598,20918,21416,21849,22199,22418,22670,23135,23649,23689,23736,23746,23754,23769
46,Vermont,0,0,12,48,55,56,57,58,58,58,69,136,174,205,227,246,255,256,260,276,317,364,410,471,542,598,617,637,670,683,693,707,719,734,770,791,894,910,910,910,910,910,910
47,Washington,0,1,222,813,1118,1330,1561,1911,2122,2365,2760,3096,4285,4957,5250,5499,5765,5930,6122,6574,7726,8628,9303,9853,10776,11866,12478,12703,12919,13239,13604,14066,14339,14577,14705,15038,15380,15622,15924,16070,15875,15967,15972
48,Wisconsin,1,1,44,357,653,819,985,1199,1411,2416,4555,6335,7378,7769,7930,8083,8225,8276,8314,8505,8901,9483,10005,11173,12452,13351,14317,14415,14637,14904,14940,15097,15263,15490,15620,15802,16134,16333,16383,16598,16658,16707,16723
49,West Virginia,0,0,1,44,73,93,116,212,350,453,735,1338,2024,2300,2680,2679,2792,2891,2946,3083,3578,4426,4868,5336,5763,6317,6831,6856,6948,7064,7156,7286,7416,7522,7611,7672,7822,7935,8043,8109,8136,8156,8163
50,Wyoming,0,0,0,7,15,20,25,37,50,87,215,438,596,671,701,707,719,747,776,858,996,1174,1347,1526,1625,1718,1791,1812,1820,1834,1857,1881,1894,1908,1938,1958,1977,1998,2018,2030,2036,2039,2039
